epoch,step,phase,train_loss,loss_sent,loss_prosody,loss_words,loss_phones,val_loss,mae_total,mae_accuracy,mae_fluency,mae_prosodic,mae_completeness,rmse_total,rmse_accuracy,rmse_fluency,rmse_prosodic,rmse_completeness,pearson_total,pearson_accuracy,pearson_fluency,pearson_prosodic,pearson_completeness,spearman_total,spearman_accuracy,spearman_fluency,spearman_prosodic,spearman_completeness
10,350,train,0.021154,0.003403,0.000496,0.039723,0.053678,,,,,,,,,,,,,,,,,,,,,
10,400,train,0.015685,0.002804,0.000627,0.008630,0.011845,,,,,,,,,,,,,,,,,,,,,
10,450,train,0.016748,0.004073,0.000720,0.026435,0.042689,,,,,,,,,,,,,,,,,,,,,
10,500,train,0.016480,0.003254,0.001091,0.008905,0.015210,,,,,,,,,,,,,,,,,,,,,
10,550,train,0.019284,0.002145,0.001796,0.028087,0.047367,,,,,,,,,,,,,,,,,,,,,
10,600,train,0.020184,0.001499,0.000594,0.009692,0.009508,,,,,,,,,,,,,,,,,,,,,
10,end,val,,,,,,0.021584,0.080603,0.081710,0.069812,0.072273,0.490004,0.117385,0.119730,0.099188,0.101058,0.490377,0.672724,0.653281,0.731768,0.728225,0.000503,0.656503,0.627821,0.718110,0.713128,-0.008074
11,50,train,0.019217,0.004464,0.001073,0.002721,0.005978,,,,,,,,,,,,,,,,,,,,,
11,100,train,0.015706,0.001349,0.000363,0.000293,0.000729,,,,,,,,,,,,,,,,,,,,,
11,150,train,0.016596,0.003699,0.001288,0.007968,0.005952,,,,,,,,,,,,,,,,,,,,,
11,200,train,0.015361,0.002920,0.000455,0.008155,0.017205,,,,,,,,,,,,,,,,,,,,,
11,250,train,0.017395,0.004679,0.000999,0.020373,0.024765,,,,,,,,,,,,,,,,,,,,,
11,300,train,0.018049,0.003008,0.001343,0.021699,0.049607,,,,,,,,,,,,,,,,,,,,,
11,350,train,0.015315,0.004277,0.002145,0.000801,0.003106,,,,,,,,,,,,,,,,,,,,,
11,400,train,0.017881,0.001322,0.000459,0.001103,0.002795,,,,,,,,,,,,,,,,,,,,,
11,450,train,0.018433,0.002503,0.000555,0.008452,0.013463,,,,,,,,,,,,,,,,,,,,,
11,500,train,0.017109,0.002487,0.000916,0.013406,0.026808,,,,,,,,,,,,,,,,,,,,,
11,550,train,0.018924,0.000742,0.000516,0.019040,0.026353,,,,,,,,,,,,,,,,,,,,,
11,600,train,0.016876,0.001560,0.000766,0.016290,0.051881,,,,,,,,,,,,,,,,,,,,,
11,end,val,,,,,,0.021230,0.083380,0.082540,0.074571,0.076347,0.490455,0.112459,0.115053,0.099993,0.100500,0.490833,0.692548,0.668097,0.727468,0.729880,-0.018911,0.656734,0.619119,0.699227,0.707241,-0.044618
12,50,train,0.017252,0.006156,0.000574,0.005357,0.012361,,,,,,,,,,,,,,,,,,,,,
12,100,train,0.016520,0.001819,0.000700,0.003570,0.003696,,,,,,,,,,,,,,,,,,,,,
12,150,train,0.020464,0.006159,0.001091,0.004021,0.005103,,,,,,,,,,,,,,,,,,,,,
12,200,train,0.015084,0.000932,0.000649,0.011505,0.007848,,,,,,,,,,,,,,,,,,,,,
12,250,train,0.016090,0.001090,0.001771,0.003370,0.003793,,,,,,,,,,,,,,,,,,,,,
12,300,train,0.016234,0.000804,0.000784,0.000145,0.002024,,,,,,,,,,,,,,,,,,,,,
12,350,train,0.016802,0.004122,0.000852,0.025973,0.054368,,,,,,,,,,,,,,,,,,,,,
12,400,train,0.015839,0.001024,0.000356,0.008204,0.039915,,,,,,,,,,,,,,,,,,,,,
12,450,train,0.015170,0.005154,0.001253,0.021605,0.027946,,,,,,,,,,,,,,,,,,,,,
12,500,train,0.018788,0.002638,0.000395,0.008344,0.007518,,,,,,,,,,,,,,,,,,,,,
12,550,train,0.018765,0.002182,0.000727,0.004711,0.005994,,,,,,,,,,,,,,,,,,,,,
12,600,train,0.017174,0.002364,0.000387,0.006239,0.007972,,,,,,,,,,,,,,,,,,,,,
12,end,val,,,,,,0.021321,0.080105,0.080974,0.070905,0.071001,0.492593,0.114424,0.116720,0.098045,0.099239,0.492965,0.680270,0.661718,0.725924,0.724166,0.013625,0.647947,0.615746,0.702348,0.701937,-0.004781
13,50,train,0.017396,0.002816,0.001238,0.008034,0.005588,,,,,,,,,,,,,,,,,,,,,
13,100,train,0.013164,0.001011,0.001293,0.017777,0.016279,,,,,,,,,,,,,,,,,,,,,
13,150,train,0.014856,0.004021,0.001505,0.005340,0.010643,,,,,,,,,,,,,,,,,,,,,
13,200,train,0.015492,0.002948,0.000785,0.000147,0.002268,,,,,,,,,,,,,,,,,,,,,
13,250,train,0.019088,0.004181,0.001153,0.013420,0.032052,,,,,,,,,,,,,,,,,,,,,
13,300,train,0.015319,0.001276,0.001374,0.005261,0.011034,,,,,,,,,,,,,,,,,,,,,
13,350,train,0.013123,0.001129,0.000238,0.000077,0.002044,,,,,,,,,,,,,,,,,,,,,
13,400,train,0.018217,0.001251,0.000721,0.010310,0.014154,,,,,,,,,,,,,,,,,,,,,
13,450,train,0.015594,0.002374,0.000349,0.000571,0.001838,,,,,,,,,,,,,,,,,,,,,
13,500,train,0.020152,0.004484,0.002058,0.007866,0.021947,,,,,,,,,,,,,,,,,,,,,
13,550,train,0.015366,0.002978,0.000618,0.002685,0.002918,,,,,,,,,,,,,,,,,,,,,
13,600,train,0.016541,0.002521,0.000572,0.004781,0.007701,,,,,,,,,,,,,,,,,,,,,
13,end,val,,,,,,0.021180,0.081180,0.081651,0.067969,0.070591,0.486247,0.113139,0.115867,0.094260,0.096374,0.486620,0.690121,0.668538,0.753906,0.742993,-0.005657,0.662191,0.629173,0.737431,0.726494,-0.013522
14,50,train,0.015569,0.001133,0.000292,0.008583,0.010402,,,,,,,,,,,,,,,,,,,,,
14,100,train,0.013798,0.003930,0.000704,0.008803,0.017905,,,,,,,,,,,,,,,,,,,,,
14,150,train,0.016027,0.002653,0.000478,0.011733,0.019939,,,,,,,,,,,,,,,,,,,,,
14,200,train,0.014358,0.003069,0.000692,0.012828,0.011550,,,,,,,,,,,,,,,,,,,,,
14,250,train,0.015001,0.001184,0.000261,0.000045,0.001685,,,,,,,,,,,,,,,,,,,,,
14,300,train,0.013062,0.000793,0.000425,0.003640,0.003471,,,,,,,,,,,,,,,,,,,,,
14,350,train,0.012976,0.001990,0.000561,0.007754,0.028918,,,,,,,,,,,,,,,,,,,,,
14,400,train,0.015383,0.011235,0.000636,0.014626,0.028884,,,,,,,,,,,,,,,,,,,,,
14,450,train,0.015360,0.002811,0.000846,0.008838,0.023551,,,,,,,,,,,,,,,,,,,,,
14,500,train,0.016348,0.001836,0.000233,0.012440,0.015624,,,,,,,,,,,,,,,,,,,,,
14,550,train,0.015576,0.003686,0.000361,0.014046,0.017985,,,,,,,,,,,,,,,,,,,,,
14,600,train,0.017578,0.001366,0.000629,0.000069,0.000340,,,,,,,,,,,,,,,,,,,,,
14,end,val,,,,,,0.021026,0.078814,0.081355,0.069379,0.069717,0.484212,0.111319,0.113857,0.097119,0.097864,0.484589,0.696323,0.674413,0.741132,0.740269,-0.018013,0.676028,0.633259,0.736869,0.737170,-0.021168
15,50,train,0.016729,0.002280,0.000980,0.011256,0.031275,,,,,,,,,,,,,,,,,,,,,
15,100,train,0.017097,0.003763,0.000687,0.010291,0.011150,,,,,,,,,,,,,,,,,,,,,
15,150,train,0.014253,0.003636,0.000833,0.028729,0.036717,,,,,,,,,,,,,,,,,,,,,
15,200,train,0.014649,0.004455,0.001423,0.003555,0.010123,,,,,,,,,,,,,,,,,,,,,
15,250,train,0.014031,0.004140,0.000761,0.000102,0.001349,,,,,,,,,,,,,,,,,,,,,
15,300,train,0.012614,0.002550,0.001170,0.014018,0.024145,,,,,,,,,,,,,,,,,,,,,
15,350,train,0.015430,0.002829,0.000741,0.010033,0.018002,,,,,,,,,,,,,,,,,,,,,
15,400,train,0.014132,0.002129,0.001111,0.005647,0.003120,,,,,,,,,,,,,,,,,,,,,
15,450,train,0.014978,0.001128,0.000508,0.002253,0.006546,,,,,,,,,,,,,,,,,,,,,
15,500,train,0.015883,0.001556,0.000418,0.000388,0.001216,,,,,,,,,,,,,,,,,,,,,
15,550,train,0.015034,0.001061,0.000363,0.006575,0.005169,,,,,,,,,,,,,,,,,,,,,
15,600,train,0.014014,0.005165,0.000517,0.000058,0.000721,,,,,,,,,,,,,,,,,,,,,
15,end,val,,,,,,0.021428,0.078564,0.080597,0.068913,0.068625,0.485576,0.114638,0.116409,0.097281,0.097529,0.485950,0.690916,0.667664,0.745249,0.743770,0.011205,0.668079,0.623483,0.729094,0.732287,0.018900
16,50,train,0.012683,0.002246,0.001030,0.006713,0.008746,,,,,,,,,,,,,,,,,,,,,
16,100,train,0.013343,0.003478,0.000540,0.031117,0.030826,,,,,,,,,,,,,,,,,,,,,
16,150,train,0.013316,0.001784,0.000263,0.009419,0.034074,,,,,,,,,,,,,,,,,,,,,
16,200,train,0.012592,0.000480,0.000948,0.007441,0.015145,,,,,,,,,,,,,,,,,,,,,
16,250,train,0.014306,0.001892,0.001262,0.006432,0.013420,,,,,,,,,,,,,,,,,,,,,
16,300,train,0.013881,0.003071,0.000502,0.006287,0.015086,,,,,,,,,,,,,,,,,,,,,
16,350,train,0.014439,0.002473,0.000924,0.017202,0.021659,,,,,,,,,,,,,,,,,,,,,
16,400,train,0.013495,0.004178,0.000466,0.014415,0.017330,,,,,,,,,,,,,,,,,,,,,
16,450,train,0.011909,0.001573,0.000338,0.012765,0.026708,,,,,,,,,,,,,,,,,,,,,
16,500,train,0.017443,0.003978,0.000310,0.012321,0.028396,,,,,,,,,,,,,,,,,,,,,
16,550,train,0.014596,0.002580,0.000660,0.016889,0.039389,,,,,,,,,,,,,,,,,,,,,
16,600,train,0.014637,0.002501,0.000741,0.003328,0.005321,,,,,,,,,,,,,,,,,,,,,
