epoch,step,phase,train_loss,loss_sent,loss_prosody,val_loss,mae_total,mae_accuracy,mae_fluency,mae_prosodic,mae_completeness,rmse_total,rmse_accuracy,rmse_fluency,rmse_prosodic,rmse_completeness,pearson_total,pearson_accuracy,pearson_fluency,pearson_prosodic,pearson_completeness,spearman_total,spearman_accuracy,spearman_fluency,spearman_prosodic,spearman_completeness
17,250,train,0.002832,0.003508,0.451334,,,,,,,,,,,,,,,,,,,,,
17,300,train,0.002774,0.001501,0.153046,,,,,,,,,,,,,,,,,,,,,
17,350,train,0.002993,0.002177,0.154768,,,,,,,,,,,,,,,,,,,,,
17,400,train,0.002558,0.003506,0.225378,,,,,,,,,,,,,,,,,,,,,
17,450,train,0.002574,0.002339,0.245718,,,,,,,,,,,,,,,,,,,,,
17,500,train,0.002486,0.001294,0.122238,,,,,,,,,,,,,,,,,,,,,
17,550,train,0.002321,0.001383,0.185623,,,,,,,,,,,,,,,,,,,,,
17,600,train,0.002567,0.002719,0.168076,,,,,,,,,,,,,,,,,,,,,
17,end,val,,,,0.011245,0.081387,0.082781,0.063169,0.065047,0.629883,0.117279,0.117744,0.091650,0.094666,0.633107,0.726688,0.702829,0.779122,0.775851,-0.016405,0.731534,0.689197,0.789103,0.783801,-0.048259
18,50,train,0.002177,0.002056,0.244932,,,,,,,,,,,,,,,,,,,,,
18,100,train,0.002538,0.001667,0.289273,,,,,,,,,,,,,,,,,,,,,
18,150,train,0.002734,0.002245,0.349084,,,,,,,,,,,,,,,,,,,,,
18,200,train,0.002692,0.006922,0.333107,,,,,,,,,,,,,,,,,,,,,
18,250,train,0.002621,0.005247,0.231595,,,,,,,,,,,,,,,,,,,,,
18,300,train,0.002585,0.004824,0.279406,,,,,,,,,,,,,,,,,,,,,
18,350,train,0.002699,0.002272,0.209233,,,,,,,,,,,,,,,,,,,,,
18,400,train,0.002322,0.002302,0.263615,,,,,,,,,,,,,,,,,,,,,
18,450,train,0.002781,0.001783,0.263595,,,,,,,,,,,,,,,,,,,,,
18,500,train,0.003074,0.001590,0.361966,,,,,,,,,,,,,,,,,,,,,
18,550,train,0.003086,0.005624,0.271935,,,,,,,,,,,,,,,,,,,,,
18,600,train,0.002696,0.002119,0.165323,,,,,,,,,,,,,,,,,,,,,
18,end,val,,,,0.010493,0.075678,0.079191,0.061931,0.063974,0.617416,0.111087,0.114166,0.090112,0.092065,0.620235,0.723344,0.700748,0.778286,0.770496,-0.014290,0.731258,0.693285,0.787652,0.779286,-0.045897
19,50,train,0.002954,0.003112,0.217995,,,,,,,,,,,,,,,,,,,,,
19,100,train,0.002171,0.003421,0.144457,,,,,,,,,,,,,,,,,,,,,
19,150,train,0.002639,0.001759,0.232194,,,,,,,,,,,,,,,,,,,,,
19,200,train,0.002638,0.002857,0.159418,,,,,,,,,,,,,,,,,,,,,
19,250,train,0.002705,0.003087,0.304042,,,,,,,,,,,,,,,,,,,,,
19,300,train,0.002568,0.003109,0.216456,,,,,,,,,,,,,,,,,,,,,
19,350,train,0.002437,0.001220,0.228671,,,,,,,,,,,,,,,,,,,,,
19,400,train,0.002471,0.001429,0.286999,,,,,,,,,,,,,,,,,,,,,
19,450,train,0.002720,0.000896,0.269413,,,,,,,,,,,,,,,,,,,,,
19,500,train,0.002419,0.002481,0.315216,,,,,,,,,,,,,,,,,,,,,
19,550,train,0.002572,0.003322,0.234757,,,,,,,,,,,,,,,,,,,,,
19,600,train,0.002923,0.004873,0.257967,,,,,,,,,,,,,,,,,,,,,
19,end,val,,,,0.010852,0.077651,0.081379,0.062087,0.064867,0.620492,0.113999,0.116296,0.089855,0.093889,0.623341,0.729849,0.701782,0.783454,0.777299,-0.029267,0.733760,0.688586,0.791541,0.784875,-0.063191
20,50,train,0.002528,0.001816,0.186695,,,,,,,,,,,,,,,,,,,,,
20,100,train,0.002472,0.001965,0.193296,,,,,,,,,,,,,,,,,,,,,
20,150,train,0.002601,0.001796,0.214553,,,,,,,,,,,,,,,,,,,,,
20,200,train,0.002376,0.005089,0.194363,,,,,,,,,,,,,,,,,,,,,
20,250,train,0.002129,0.002612,0.200882,,,,,,,,,,,,,,,,,,,,,
20,300,train,0.002363,0.002637,0.197837,,,,,,,,,,,,,,,,,,,,,
20,350,train,0.002804,0.002645,0.229261,,,,,,,,,,,,,,,,,,,,,
20,400,train,0.002579,0.001867,0.223129,,,,,,,,,,,,,,,,,,,,,
20,450,train,0.002231,0.001897,0.253294,,,,,,,,,,,,,,,,,,,,,
20,500,train,0.002238,0.001193,0.307100,,,,,,,,,,,,,,,,,,,,,
20,550,train,0.002358,0.001338,0.156739,,,,,,,,,,,,,,,,,,,,,
20,600,train,0.002349,0.002712,0.241067,,,,,,,,,,,,,,,,,,,,,
